Title,Author,Genre,Publisher,Year of Publication,ISBN,Description,Language,Image
Her Backup Boyfriend (The Sorensen Family #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Her_Backup_Boyfriend__The_Sorensen_Family__1_.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Giant_Days__Vol__2__Giant_Days__5_8_.jpg
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Forever_and_Forever__The_Courtship_of_Henry_Longfellow_and_Fanny_Appleton.jpg
First and First (Five Boroughs #3),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\First_and_First__Five_Boroughs__3_.jpg
Fifty Shades Darker (Fifty Shades #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Fifty_Shades_Darker__Fifty_Shades__2_.jpg
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Everydata__The_Misinformation_Hidden_in_the_Little_Data_You_Consume_Every_Day.jpg
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Don_t_Be_a_Jerk__And_Other_Practical_Advice_from_Dogen__Japan_s_Greatest_Zen_Master.jpg
Danganronpa Volume 1,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Danganronpa_Volume_1.jpg
Crown of Midnight (Throne of Glass #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Crown_of_Midnight__Throne_of_Glass__2_.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Codename_Baboushka__Volume_1__The_Conclave_of_Death.jpg
Camp Midnight,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Camp_Midnight.jpg
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Call_the_Nurse__True_Stories_of_a_Country_Nurse_on_a_Scottish_Isle.jpg
Burning,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Burning.jpg
Bossypants,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Bossypants.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Bitch_Planet__Vol__1__Extraordinary_Machine__Bitch_Planet__Collected_Editions__.jpg
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Avatar__The_Last_Airbender__Smoke_and_Shadow__Part_3__Smoke_and_Shadow__3_.jpg
Algorithms to Live By: The Computer Science of Human Decisions,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Algorithms_to_Live_By__The_Computer_Science_of_Human_Decisions.jpg
A World of Flavor: Your Gluten Free Passport,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_World_of_Flavor__Your_Gluten_Free_Passport.jpg
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Piece_of_Sky__a_Grain_of_Rice__A_Memoir_in_Four_Meditations.jpg
A Murder in Time,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Murder_in_Time.jpg
A Flight of Arrows (The Pathfinders #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Flight_of_Arrows__The_Pathfinders__2_.jpg
A Fierce and Subtle Poison,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Fierce_and_Subtle_Poison.jpg
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Court_of_Thorns_and_Roses__A_Court_of_Thorns_and_Roses__1_.jpg
(Un)Qualified: How God Uses Broken People to Do Big Things,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\_Un_Qualified__How_God_Uses_Broken_People_to_Do_Big_Things.jpg
You Are What You Love: The Spiritual Power of Habit,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\You_Are_What_You_Love__The_Spiritual_Power_of_Habit.jpg
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\William_Shakespeare_s_Star_Wars__Verily__A_New_Hope__William_Shakespeare_s_Star_Wars__4_.jpg
Tuesday Nights in 1980,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Tuesday_Nights_in_1980.jpg
Tracing Numbers on a Train,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Tracing_Numbers_on_a_Train.jpg
Throne of Glass (Throne of Glass #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Throne_of_Glass__Throne_of_Glass__1_.jpg
